44ed80e6-ebb8-4576-8ed8-da652bf46b81|A person or organization responsible for the original idea on which a work is based, this includes the scientific author of an audio-visual item and the conceptor of an advertisement|ccp|Conceptor||
b3ed8e4f-1af0-46ee-b915-e5d0e1e813ff|A performer contributing to a musical resource by leading a performing group (orchestra, chorus, opera, etc.) in a musical or dramatic presentation, etc.|cnd|Conductor||
df2dd65c-747a-4970-ba8e-a42c04914122|A person or organization responsible for documenting, preserving, or treating printed or manuscript material, works of art, artifacts, or other media|con|Conservator||
0ade22df-0085-48dc-bcb1-3a3586744e7e|||UF Preservationist||
5a2ca119-c7c2-4cb9-90ac-f11ee398e72a|A person or organization relevant to a resource, who is called upon for professional advice or services in a specialized field of knowledge or training|csl|Consultant||
893acdad-732d-45c8-b980-ed2b5ea6015c|A person or organization relevant to a resource, who is engaged specifically to provide an intellectual overview of a strategic or operational task and by analysis, specification, or instruction, to create or propose a cost-effective course of action or solution|csp|Consultant to a project||
20df5a99-6165-4b14-9953-df3b969161c1|A person(s) or organization who opposes, resists, or disputes, in a court of law, a claim, decision, result, etc.|cos|Contestant||
10e9af4f-e3f6-4988-8bc1-e06b0c9a03bd|A contestant who takes an appeal from one court of law or jurisdiction to another to reverse the judgment|cot|Contestant-appellant||
0c110b42-c8f7-43e3-a6c6-de50d30ea6f4|A contestant against whom an appeal is taken from one court of law or jurisdiction to another to reverse the judgment|coe|Contestant-appellee||
76af5f4f-4104-4c76-ab9f-5b89f12482ec|A person(s) or organization defending a claim, decision, result, etc. being opposed, resisted, or disputed in a court of law|cts|Contestee||
62040997-7957-4a80-81ff-967d5c201b76|A contestee who takes an appeal from one court or jurisdiction to another to reverse the judgment|ctt|Contestee-appellant||
f6de9e88-be99-4740-b8b4-3237f388b563|A contestee against whom an appeal is taken from one court or jurisdiction to another to reverse the judgment|cte|Contestee-appellee||
75494e08-9d77-4b4b-acfa-2a0f9a5a153a|A person or organization relevant to a resource, who enters into a contract with another person or organization to perform a specific|ctr|Contractor||
6d45b726-fc9f-4b7d-98c7-2c5b199a11e9|A person, family or organization responsible for making contributions to the resource. This includes those whose work has been contributed to a larger work, such as an anthology, serial publication, or other compilation of individual works. If a more specific role is available, prefer that, e.g. editor, compiler, illustrator|ctb|Contributor||
c12597e6-2383-4dd0-b780-befba5f121fd|||UF Collaborator, Copier USE Facsimilist, Copier USE Forger||
84ab8532-ae95-477f-93ab-85a2c1481783|A person or organization listed as a copyright owner at the time of registration. Copyright can be granted or later transferred to another person or organization, at which time the claimant becomes the copyright holder|cpc|Copyright claimant||
a331136d-3213-4042-b71d-a6479a7ca74b|A person or organization to whom copy and legal rights have been granted or transferred for the intellectual content of a work. The copyright holder, although not necessarily the creator of the work, usually has the exclusive right to benefit financially from the sale and use of the work to which the associated copyright protection applies|cph|Copyright holder||
c91c93cb-a440-4f51-bd1a-a47bf223b5a3|A person or organization who is a corrector of manuscripts, such as the scriptorium official who corrected the work of a scribe. For printed matter, use Proofreader|crr|Corrector||
12bcbb06-1e5f-498f-a455-6093ea911c23|A person or organization who was either the writer or recipient of a letter or other communication|crp|Correspondent||
436179f9-901c-45a6-aae3-35a6980d61cf|A person, family, or organization that designs the costumes for a moving image production or for a musical or dramatic presentation or entertainment|cst|Costume designer||
92a5abb5-3246-442f-8c10-3d1bbe0a72de|||Counterfeiter USE Forger||
c9e112bd-ba9e-41c4-89c2-f80e65979943|A court governed by court rules, regardless of their official nature (e.g., laws, administrative regulations)|cou|Court governed||
68b26a3f-cb3e-4de7-bb76-0ad3334b2eb2|A person, family, or organization contributing to a resource by preparing a court's opinions for publication|crt|Court reporter||
ebeb70f3-b17d-4a1b-91df-9b7ae519ca11|A person or organization responsible for the graphic design of a book cover, album cover, slipcase, box, container, etc. For a person or organization responsible for the graphic design of an entire book, use Book designer; for book jackets, use Bookjacket designer UF Designer of cover|cov|Cover designer||
3628e8a7-5b65-43a1-9d30-14daffd7e549|A person or organization responsible for the intellectual or artistic content of a resource|cre|Creator||
e1b38e2c-b9b1-4cc3-ad03-0c1592826234|A person, family, or organization conceiving, aggregating, and/or organizing an exhibition, collection, or other item|cur|Curator||
f67d67a6-cdf7-4f4d-89d1-ec0bc1f649d4|||UF Curator of an exhibition, Curator of an exhibition USE Curator, Current owner USE Owner||
2b6022f3-1c26-4ede-af5e-61aebe03040b|A performer who dances in a musical, dramatic, etc., presentation|dnc|Dancer||
80306dbd-94de-496a-9e4e-4aab0670f4cd|A person or organization that submits data for inclusion in a database or other collection of data|dtc|Data contributor||
